name,name_es,category,price_eur,price_credits,duration,location,provider,commission_percentage,description,description_es,features,features_es,integration_type,is_featured,active
"Grand Tour Lanzarote (Timanfaya + Jameos + La Geria)","Gran Tour Lanzarote (Timanfaya + Jameos + La Geria)",excursions,65,10,"7-8 hours","Hotel pickup","Lanzarote Experience Tours",20,"Complete island tour covering Timanfaya National Park, Jameos del Agua, and La Geria wine region. Full day with guide and transport.","Tour completo de la isla incluyendo Parque Nacional de Timanfaya, Jameos del Agua y region vinicola de La Geria. Dia completo con guia y transporte.","Full day tour|Expert guide|Lunch included|3 iconic stops","Tour dia completo|Guia experto|Almuerzo incluido|3 paradas iconicas",manual,true,true
"South Tour (Timanfaya + La Geria)","Tour del Sur (Timanfaya + La Geria)",excursions,38,6,"4-5 hours","Hotel pickup","OkLanzarote",18,"Half-day tour to the volcanic south. Visit Timanfaya fire mountains and taste wines in La Geria volcanic vineyards.","Tour de medio dia al sur volcanico. Visita las montanas de fuego de Timanfaya y degusta vinos en los vinedos volcanicos de La Geria.","Half-day|Timanfaya entry|Wine tasting|Bus transport","Medio dia|Entrada Timanfaya|Cata de vinos|Transporte bus",manual,true,true
"Whale & Dolphin Watching Eco Catamaran","Avistamiento de Ballenas y Delfines Eco Catamaran",excursions,55,8,"2.5 hours","Puerto Calero","Club Canary",22,"Eco-friendly catamaran cruise to spot whales and dolphins in their natural habitat. First electric catamaran in the Canary Islands.","Crucero en catamaran ecologico para avistar ballenas y delfines en su habitat natural. Primer catamaran electrico de Canarias.","Eco-friendly|Marine biologist|Drinks included|High success rate","Ecologico|Biologo marino|Bebidas incluidas|Alta tasa avistamiento",manual,true,true
"Kayak & Snorkel Papagayo","Kayak y Snorkel Papagayo",adventure,45,7,"2-3 hours","Playa Blanca","H2O Sports Lanzarote",20,"Paddle through crystal-clear waters to the famous Papagayo beaches. Snorkeling equipment and guide included.","Rema por aguas cristalinas hasta las famosas playas de Papagayo. Equipo de snorkel y guia incluidos.","Kayak + Snorkel|Guide|Equipment included|Papagayo beaches","Kayak + Snorkel|Guia|Equipo incluido|Playas Papagayo",manual,true,true
"Buggy Volcano Tour","Buggy Tour Volcanico",adventure,90,14,"2-3 hours","Hotel pickup","Low Cost Tours Lanzarote",18,"Drive your own buggy through volcanic landscapes and off-road trails. Helmets and insurance included.","Conduce tu propio buggy por paisajes volcanicos y caminos off-road. Cascos y seguro incluidos.","Drive your own buggy|Volcanic trails|Helmets included|Insurance","Conduce tu buggy|Rutas volcanicas|Cascos incluidos|Seguro",manual,true,true
"Jet Ski Experience","Experiencia en Moto de Agua",adventure,55,8,"40 minutes","Playa Blanca","H2O Sports Lanzarote",20,"High-speed jet ski ride along the coast of Playa Blanca with stunning views of Fuerteventura.","Paseo en moto de agua a alta velocidad por la costa de Playa Blanca con vistas impresionantes de Fuerteventura.","40 min ride|Safety briefing|Life jacket|Fuerteventura views","40 min|Briefing seguridad|Chaleco salvavidas|Vistas Fuerteventura",manual,false,true
"Self-Drive Boat (No License)","Barco Sin Licencia",adventure,80,12,"2 hours","Puerto del Carmen","Ocean Adventures",18,"Explore the coast at your own pace in a self-drive boat. No license required. Up to 6 people.","Explora la costa a tu ritmo en un barco sin licencia. No se requiere titulacion. Hasta 6 personas.","No license needed|Up to 6 people|2 hours|Explore freely","Sin licencia|Hasta 6 personas|2 horas|Explora libremente",manual,false,true
"Wine Tour La Geria (4 Wineries)","Tour del Vino La Geria (4 Bodegas)",culture,65,10,"5 hours","Hotel pickup","Feeling Lanzarote Tours",22,"Visit 4 traditional volcanic wineries in La Geria. Taste Malvasia wines and learn about unique cultivation methods.","Visita 4 bodegas volcanicas tradicionales en La Geria. Degusta vinos Malvasia y aprende sobre los metodos unicos de cultivo.","4 wineries|Wine tasting|Tapas|Expert guide","4 bodegas|Cata de vinos|Tapas|Guia experto",manual,true,true
"Cesar Manrique Art & Architecture Tour","Tour Arte y Arquitectura Cesar Manrique",culture,48,7,"4 hours","Hotel pickup","CANCO Travel",20,"Discover the artistic legacy of Cesar Manrique. Visit Fundacion Cesar Manrique, Jardin de Cactus, and Mirador del Rio.","Descubre el legado artistico de Cesar Manrique. Visita Fundacion Cesar Manrique, Jardin de Cactus y Mirador del Rio.","3 Manrique sites|Entry tickets|Guide|Transport","3 sitios Manrique|Entradas|Guia|Transporte",manual,true,true
"Volcano Dinner at Timanfaya","Cena Volcanica en Timanfaya",dining,85,13,"4 hours","Hotel pickup","Lanzarote Experience Tours",25,"Exclusive evening tour to Timanfaya with dinner cooked over volcanic heat. Sunset views over the fire mountains.","Tour exclusivo nocturno a Timanfaya con cena cocinada sobre calor volcanico. Vistas del atardecer sobre las montanas de fuego.","Volcano-cooked dinner|Sunset views|Premium experience|Wine included","Cena cocinada en volcan|Vistas atardecer|Experiencia premium|Vino incluido",manual,true,true
